cuisine,mismatch,direction
Chinese,0.2953921176661791,-0.02193575491630099
Italian,0.27845835177413203,-0.001125593285005723
Mexican,0.27477897909070614,-0.006589932286628468
Kosher,0.27137042253521126,-0.0702056338028169
Japanese,0.2706440675498617,-0.00658726161013248
